column,missing_rate
final_exam_score_audit_only,0.9285714285714286
quiz_score,0.7530476190476191
assignment_score,0.7482142857142857
midterm_score,0.42857142857142855
midterm_score_available,0.42857142857142855
average_assignment_score_to_date,0.14285714285714285
average_quiz_score_to_date,0.07142857142857142
weekly_grade,0.0
semester,0.0
course_id,0.0
student_id,0.0
attempt_id,0.0
assignment_completed,0.0
corrections_count,0.0
submission_delay_days,0.0
attendance,0.0
week,0.0
attendance_rate_to_date,0.0
average_weekly_grade_to_date,0.0
quiz_completed,0.0
corrections_count_to_date,0.0
mean_submission_delay_days_to_date,0.0
quizzes_completed_to_date,0.0
assignments_completed_to_date,0.0
final_course_score,0.0
final_gpa,0.0
course_outcome,0.0
learning_pace,0.0
